"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_SUBFST023_00098_SEQ_00<tab>Dametta needs someone to gather microchu leaflets for her cooking.","TEXT_SUBFST023_00098_SEQ_00<tab>ハーストミルの主婦アメッタは、料理の味付けに使うコチューの若葉を必要としているようだ。","","False","0x00000000","",""
"","TEXT_SUBFST023_00098_SEQ_01<tab>Dametta of Hyrstmill is making a batch of Mun<var 1F /var>Tuy tonic, a nutritious but notoriously foul-tasting drink. If she could get her hands on some microchu leaflets to flavor the concoction, however, she could render it palatable for normal folk. Slay the microchus surrounding Hyrstmill and gather four leaflets from their remains.","TEXT_SUBFST023_00098_SEQ_01<tab>ムントゥイ豆乳の味付けに使うコチューの若葉が足りないらしい。ハーストミル付近にいる「コチュー」を倒し、「コチューの若葉」を4枚集めよう。","","False","0x00000001","",""
"","TEXT_SUBFST023_00098_SEQ_02<tab>You've gathered four microchu leaflets. Deliver them to Dametta posthaste, before she makes some hapless soul drink the unadulterated brew!","TEXT_SUBFST023_00098_SEQ_02<tab>コチューの若葉を集め終えた。急ぎ、ハーストミルで待つ「アメッタ」に届けよう。","","False","0x00000002","",""
"","TEXT_SUBFST023_00098_SEQ_03<tab>To respect the forest and take only that which is needed, to lead a life without waste─such is the tenet by which Gridanians live. Dametta stresses the importance of this belief, before lamenting that her son has yet to take it to heart...","TEXT_SUBFST023_00098_SEQ_03<tab>すべては森からの頂きものだからこそ、必要なものを必要なだけ、必要なときに使うのが大切だというアメッタ。その信条が、彼女の息子にも受け継がれるといいのだが……。","","False","0x00000003","",""
"","TEXT_SUBFST023_00098_SEQ_04<tab>","TEXT_SUBFST023_00098_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_SUBFST023_00098_SEQ_05<tab>","TEXT_SUBFST023_00098_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_SUBFST023_00098_SEQ_06<tab>","TEXT_SUBFST023_00098_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_SUBFST023_00098_SEQ_07<tab>","TEXT_SUBFST023_00098_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_SUBFST023_00098_SEQ_08<tab>","TEXT_SUBFST023_00098_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_SUBFST023_00098_SEQ_09<tab>","TEXT_SUBFST023_00098_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_SUBFST023_00098_SEQ_10<tab>","TEXT_SUBFST023_00098_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_SUBFST023_00098_SEQ_11<tab>","TEXT_SUBFST023_00098_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_SUBFST023_00098_SEQ_12<tab>","TEXT_SUBFST023_00098_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_SUBFST023_00098_SEQ_13<tab>","TEXT_SUBFST023_00098_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_SUBFST023_00098_SEQ_14<tab>","TEXT_SUBFST023_00098_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_SUBFST023_00098_SEQ_15<tab>","TEXT_SUBFST023_00098_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_SUBFST023_00098_SEQ_16<tab>","TEXT_SUBFST023_00098_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_SUBFST023_00098_SEQ_17<tab>","TEXT_SUBFST023_00098_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_SUBFST023_00098_SEQ_18<tab>","TEXT_SUBFST023_00098_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_SUBFST023_00098_SEQ_19<tab>","TEXT_SUBFST023_00098_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_SUBFST023_00098_SEQ_20<tab>","TEXT_SUBFST023_00098_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_SUBFST023_00098_SEQ_21<tab>","TEXT_SUBFST023_00098_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_SUBFST023_00098_SEQ_22<tab>","TEXT_SUBFST023_00098_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_SUBFST023_00098_SEQ_23<tab>","TEXT_SUBFST023_00098_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_SUBFST023_00098_TODO_00<tab>Slay microchus and gather leaflets from their remains.","TEXT_SUBFST023_00098_TODO_00<tab>コチューからコチューの若葉を入手","","False","0x00000018","",""
"","TEXT_SUBFST023_00098_TODO_01<tab>Deliver the microchu leaflets to Dametta.","TEXT_SUBFST023_00098_TODO_01<tab>アメッタにコチューの若葉を渡す","","False","0x00000019","",""
"","TEXT_SUBFST023_00098_TODO_02<tab>","TEXT_SUBFST023_00098_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_SUBFST023_00098_TODO_03<tab>","TEXT_SUBFST023_00098_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_SUBFST023_00098_TODO_04<tab>","TEXT_SUBFST023_00098_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_SUBFST023_00098_TODO_05<tab>","TEXT_SUBFST023_00098_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_SUBFST023_00098_TODO_06<tab>","TEXT_SUBFST023_00098_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_SUBFST023_00098_TODO_07<tab>","TEXT_SUBFST023_00098_TODO_07<tab>","","False","0x0000001F","",""
"","TEXT_SUBFST023_00098_TODO_08<tab>","TEXT_SUBFST023_00098_TODO_08<tab>","","False","0x00000020","",""
"","TEXT_SUBFST023_00098_TODO_09<tab>","TEXT_SUBFST023_00098_TODO_09<tab>","","False","0x00000021","",""
"","TEXT_SUBFST023_00098_TODO_10<tab>","TEXT_SUBFST023_00098_TODO_10<tab>","","False","0x00000022","",""
"","TEXT_SUBFST023_00098_TODO_11<tab>","TEXT_SUBFST023_00098_TODO_11<tab>","","False","0x00000023","",""
"","TEXT_SUBFST023_00098_TODO_12<tab>","TEXT_SUBFST023_00098_TODO_12<tab>","","False","0x00000024","",""
"","TEXT_SUBFST023_00098_TODO_13<tab>","TEXT_SUBFST023_00098_TODO_13<tab>","","False","0x00000025","",""
"","TEXT_SUBFST023_00098_TODO_14<tab>","TEXT_SUBFST023_00098_TODO_14<tab>","","False","0x00000026","",""
"","TEXT_SUBFST023_00098_TODO_15<tab>","TEXT_SUBFST023_00098_TODO_15<tab>","","False","0x00000027","",""
"","TEXT_SUBFST023_00098_TODO_16<tab>","TEXT_SUBFST023_00098_TODO_16<tab>","","False","0x00000028","",""
"","TEXT_SUBFST023_00098_TODO_17<tab>","TEXT_SUBFST023_00098_TODO_17<tab>","","False","0x00000029","",""
"","TEXT_SUBFST023_00098_TODO_18<tab>","TEXT_SUBFST023_00098_TODO_18<tab>","","False","0x0000002A","",""
"","TEXT_SUBFST023_00098_TODO_19<tab>","TEXT_SUBFST023_00098_TODO_19<tab>","","False","0x0000002B","",""
"","TEXT_SUBFST023_00098_TODO_20<tab>","TEXT_SUBFST023_00098_TODO_20<tab>","","False","0x0000002C","",""
"","TEXT_SUBFST023_00098_TODO_21<tab>","TEXT_SUBFST023_00098_TODO_21<tab>","","False","0x0000002D","",""
"","TEXT_SUBFST023_00098_TODO_22<tab>","TEXT_SUBFST023_00098_TODO_22<tab>","","False","0x0000002E","",""
"","TEXT_SUBFST023_00098_TODO_23<tab>","TEXT_SUBFST023_00098_TODO_23<tab>","","False","0x0000002F","",""
"","TEXT_SUBFST023_00098_DAMETTA_000_1<tab>Oh dear... If I'm to make this much Mun<var 1F /var>Tuy tonic, I'll need far more microchu leaflets...","TEXT_SUBFST023_00098_DAMETTA_000_1<tab>うーん、このムントゥイ豆の量だと、<br>豆乳を作るには「コチューの若葉」が足りないねぇ……。","","False","0x00000030","",""
"","TEXT_SUBFST023_00098_DAMETTA_000_2<tab>Young <var 08 E905 ((lady)) ((man)) /var>, would you be so kind as to fetch me four leaflets from the microchus outside the hamlet?","TEXT_SUBFST023_00098_DAMETTA_000_2<tab>ああ、あんた。<br>近くに「コチュー」がいたのを見ただろう。<br>「コチューの若葉」を4枚採ってきてくれないかい。","","False","0x00000031","",""
"","TEXT_SUBFST023_00098_DAMETTA_000_3<tab>I'm whipping up a fresh batch of Mun<var 1F /var>Tuy tonic, you see. Oh, it's a <var 1A 02 /var>lovely<var 1A 01 /var> drink, absolutely bursting with nutrients and goodness. I'll have you know I always drink at least one cup a day! Alas, few people share my <var 1A 02 /var>passion<var 1A 01 /var> for healthy living... Truth be told, most won't touch the stuff─not unless you add microchu leaflets, anyway. Apparently, the taste and the smell are too distracting or some such nonsense.","TEXT_SUBFST023_00098_DAMETTA_000_3<tab>今作ってる、ムントゥイ豆乳の香りつけに必要なのさ。<br>このままじゃ青臭くって飲めやしないよ。","","False","0x00000032","",""
"","TEXT_SUBFST023_00098_DAMETTA_000_4<tab>Oh, but listen to me prattling on like an Ishgardian priest! I shall stop talking and start stirring! Well, don't just stand there, dear─run along and fetch me those leaves! This batch will be ready soon, and it'd be <var 1A 02 /var>such<var 1A 01 /var> a shame if no one could drink it but me.","TEXT_SUBFST023_00098_DAMETTA_000_4<tab>さぁ、さっさと行ってちょうだいな。<br>あんたがぐずぐずしてると、豆乳が煮立っちゃうだろう？","","False","0x00000033","",""
"","TEXT_SUBFST023_00098_DAMETTA_000_10<tab>Ah, you're back! Did you manage to find the microchu leaflets I asked for?","TEXT_SUBFST023_00098_DAMETTA_000_10<tab>あら、もうコチューの若葉を集めてきたのかい？","","False","0x00000034","",""
"","TEXT_SUBFST023_00098_DAMETTA_000_11<tab>Let's see... Yes, that's four, alright! <sniff> <sniff> Ah, such a <var 1A 02 /var>lovely<var 1A 01 /var> scent!","TEXT_SUBFST023_00098_DAMETTA_000_11<tab>ひい、ふう、みい……ぴったり4枚あるようだねぇ。<br>うん、いい香りだ。","","False","0x00000035","",""
"","TEXT_SUBFST023_00098_DAMETTA_000_12<tab>Now, you gathered only the four I asked for, and not one more, yes? Oh, I know I shouldn't have to ask, but these days, more and more people forget to take only what they need. If we're to live in harmony with the wood, we must respect life and remember what it means to take it.","TEXT_SUBFST023_00098_DAMETTA_000_12<tab>生き物から頂く食材も、<br>森が与えてくれたものだからねぇ。<br>必要以上に取りすぎないことも、大事なのよ。","","False","0x00000036","",""
"","TEXT_SUBFST023_00098_DAMETTA_000_13<tab><var 1A 02 /var>Never be wasteful<var 1A 01 /var>! Know the value of life and know the value of our time here in this world. That's why I always live my life to the fullest, wasting nary a moment and nary a word─nay, not so much as a single one!","TEXT_SUBFST023_00098_DAMETTA_000_13<tab>だからこそ、無駄にしないように、<br>必要な時、必要なだけの量を頂くのさ。","","False","0x00000037","",""
"","TEXT_SUBFST023_00098_DAMETTA_000_14<tab>Remember: if you mean to remain within the Twelveswood, you must be ever mindful to show respect and gratitude to the forest and to the elementals.","TEXT_SUBFST023_00098_DAMETTA_000_14<tab>あんたもね、ここにいる限り、<br>森と精霊への感謝の気持ちを忘れちゃいけないよ。","","False","0x00000038","",""
"","TEXT_SUBFST023_00098_DAMETTA_000_15<tab>You know, you remind me of my son. He's a good boy, but sometimes forgets what it means to be Gridanian. Why, just the other day, I caught him and his friends throwing Mun<var 1F /var>Tuy beans at each other!","TEXT_SUBFST023_00098_DAMETTA_000_15<tab>ああ、そうそう、森への感謝といえばねぇ…………<br>この間……うちの子ったらムントゥイ豆を…………<br>友達と……………………………………投げ…………","","False","0x00000039","",""
