"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","TEXT_GAIUSA912_00807_SEQ_00<tab>Marcette would keep your nose to the grindstone.","TEXT_GAIUSA912_00807_SEQ_00<tab>ダンスタン監視哨のマルセットは、まだまだ研究を手伝わせたいようだ。","","False","0x00000000","",""
"","TEXT_GAIUSA912_00807_SEQ_01<tab>Marcette requires a freshly extracted stroper stomach for her latest experiment. Use the medicine she has provided you with to neutralize its foul breath, then slay the creature and extract its innards.","TEXT_GAIUSA912_00807_SEQ_01<tab>今度はストローパーの生態を調べるようだ。<var 28 ((EventItem)) F61E883E01 /var>を使って「<var 28 ((BNpcName)) F2080901 /var>」を倒し、「<var 28 ((EventItem)) F61E87DE01 /var>」を入手しよう。","","False","0x00000001","",""
"","TEXT_GAIUSA912_00807_SEQ_02<tab>You have obtained the putrid stomach of a stroper. Deliver the foul mess to Marcette before you pass out from the unbearable stench.","TEXT_GAIUSA912_00807_SEQ_02<tab><var 28 ((EventItem)) F61E87DE01 /var>を入手した。ダンスタン監視哨のマルセットに「<var 28 ((EventItem)) F61E87DE01 /var>」を渡そう。","","False","0x00000002","",""
"","TEXT_GAIUSA912_00807_SEQ_03<tab>Never have you seen anyone so happy to receive a putrid pile of innards. Marcette is once again tremendously pleased with herself, and─from the fact that she remembered your number─might even genuinely appreciate your efforts this time.","TEXT_GAIUSA912_00807_SEQ_03<tab>冒険者の協力で、またひとつマルセットの研究が進んだようだ。新エオルゼア博物誌が無事に完成することを祈ろう。","","False","0x00000003","",""
"","TEXT_GAIUSA912_00807_SEQ_04<tab>","TEXT_GAIUSA912_00807_SEQ_04<tab>","","False","0x00000004","",""
"","TEXT_GAIUSA912_00807_SEQ_05<tab>","TEXT_GAIUSA912_00807_SEQ_05<tab>","","False","0x00000005","",""
"","TEXT_GAIUSA912_00807_SEQ_06<tab>","TEXT_GAIUSA912_00807_SEQ_06<tab>","","False","0x00000006","",""
"","TEXT_GAIUSA912_00807_SEQ_07<tab>","TEXT_GAIUSA912_00807_SEQ_07<tab>","","False","0x00000007","",""
"","TEXT_GAIUSA912_00807_SEQ_08<tab>","TEXT_GAIUSA912_00807_SEQ_08<tab>","","False","0x00000008","",""
"","TEXT_GAIUSA912_00807_SEQ_09<tab>","TEXT_GAIUSA912_00807_SEQ_09<tab>","","False","0x00000009","",""
"","TEXT_GAIUSA912_00807_SEQ_10<tab>","TEXT_GAIUSA912_00807_SEQ_10<tab>","","False","0x0000000A","",""
"","TEXT_GAIUSA912_00807_SEQ_11<tab>","TEXT_GAIUSA912_00807_SEQ_11<tab>","","False","0x0000000B","",""
"","TEXT_GAIUSA912_00807_SEQ_12<tab>","TEXT_GAIUSA912_00807_SEQ_12<tab>","","False","0x0000000C","",""
"","TEXT_GAIUSA912_00807_SEQ_13<tab>","TEXT_GAIUSA912_00807_SEQ_13<tab>","","False","0x0000000D","",""
"","TEXT_GAIUSA912_00807_SEQ_14<tab>","TEXT_GAIUSA912_00807_SEQ_14<tab>","","False","0x0000000E","",""
"","TEXT_GAIUSA912_00807_SEQ_15<tab>","TEXT_GAIUSA912_00807_SEQ_15<tab>","","False","0x0000000F","",""
"","TEXT_GAIUSA912_00807_SEQ_16<tab>","TEXT_GAIUSA912_00807_SEQ_16<tab>","","False","0x00000010","",""
"","TEXT_GAIUSA912_00807_SEQ_17<tab>","TEXT_GAIUSA912_00807_SEQ_17<tab>","","False","0x00000011","",""
"","TEXT_GAIUSA912_00807_SEQ_18<tab>","TEXT_GAIUSA912_00807_SEQ_18<tab>","","False","0x00000012","",""
"","TEXT_GAIUSA912_00807_SEQ_19<tab>","TEXT_GAIUSA912_00807_SEQ_19<tab>","","False","0x00000013","",""
"","TEXT_GAIUSA912_00807_SEQ_20<tab>","TEXT_GAIUSA912_00807_SEQ_20<tab>","","False","0x00000014","",""
"","TEXT_GAIUSA912_00807_SEQ_21<tab>","TEXT_GAIUSA912_00807_SEQ_21<tab>","","False","0x00000015","",""
"","TEXT_GAIUSA912_00807_SEQ_22<tab>","TEXT_GAIUSA912_00807_SEQ_22<tab>","","False","0x00000016","",""
"","TEXT_GAIUSA912_00807_SEQ_23<tab>","TEXT_GAIUSA912_00807_SEQ_23<tab>","","False","0x00000017","",""
"","TEXT_GAIUSA912_00807_TODO_00<tab>Use Marcette's medicine and kill a halitostroper.","TEXT_GAIUSA912_00807_TODO_00<tab><var 28 ((EventItem)) F61E883E01 /var>を使って<var 28 ((BNpcName)) F2080901 /var>を討伐","","False","0x00000018","",""
"","TEXT_GAIUSA912_00807_TODO_01<tab>Deliver the stomach to Marcette.","TEXT_GAIUSA912_00807_TODO_01<tab>マルセットに<var 28 ((EventItem)) F61E87DE01 /var>を渡す","","False","0x00000019","",""
"","TEXT_GAIUSA912_00807_TODO_02<tab>","TEXT_GAIUSA912_00807_TODO_02<tab>","","False","0x0000001A","",""
"","TEXT_GAIUSA912_00807_TODO_03<tab>","TEXT_GAIUSA912_00807_TODO_03<tab>","","False","0x0000001B","",""
"","TEXT_GAIUSA912_00807_TODO_04<tab>","TEXT_GAIUSA912_00807_TODO_04<tab>","","False","0x0000001C","",""
"","TEXT_GAIUSA912_00807_TODO_05<tab>","TEXT_GAIUSA912_00807_TODO_05<tab>","","False","0x0000001D","",""
"","TEXT_GAIUSA912_00807_TODO_06<tab>","TEXT_GAIUSA912_00807_TODO_06<tab>","","False","0x0000001E","",""
"","TEXT_GAIUSA912_00807_TODO_07<tab>","TEXT_GAIUSA912_00807_TODO_07<tab>","","False","0x0000001F","",""
